"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"190","S24","Osta pois kuluksimasta , kadut kuitenkin jos et osta ...","ostaa pois kuluksimasta , katua kuitenkin jos ei ostaa ...","Kannattavan yrityksen ostaminen","20.2.2013","09:03","Talous","Yrityksen perustaminen","Osta","3199473","http://keskustelu.suomi24.fi/t/11265589#comment-60106146","http://keskustelu.suomi24.fi/t/11265589","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"191","S24","Näissä hyvä / huono kommenteissa on se paha puoli että koko ketjua moititaan jos yksi konttori on töpännyt .","tämä hyvä / huono kommentti olla se paha puoli että koko ketju moittia jos yksi konttori olla töpätä .","Huonoin pankki ja palvelut","5.7.2014","04:17","Talous","Pankit","muutoin asialinja","4200575","http://keskustelu.suomi24.fi/t/10014984#comment-68684113","http://keskustelu.suomi24.fi/t/10014984","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"192","S24","Kysymymyksessä olisi 60-luvulla kaivetun ojan perkaus .","Kysymymyksessä olla 60-luku kaivaa oja perkaus .","Hehtaarin päiväraivaajat","10.11.2014","11:01","Talous","Metsänhoito","Sinne vaan ojaan","31586","http://keskustelu.suomi24.fi/t/12850269#comment-73240452","http://keskustelu.suomi24.fi/t/12850269","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"193","S24",""" Nokia kertoi viime viikolla intialaiselle tuomioistuimelle Madrasissa , ettei se pysty taloudellisten vaikeuksiensa vuoksi maksamaan edes osaa verorästeistä .",""" Nokia kertoa viime viikko intialainen tuomioistuin Madrasissa , ettäei se pystyä taloudellinen vaikeus vuoksi maksaa edes osata verorästi .","Miksi Nokia pihtaa tietoa?","8.4.2014","09:56","Talous","Osakevinkit","1119","3334245","http://keskustelu.suomi24.fi/t/12068390#comment-67161983","http://keskustelu.suomi24.fi/t/12068390","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"194","S24","1 ) Liikevaihto saattaa jäädä alle 8000 €/vuosi 2 ) Pitääkö minun hoitaa ennakkoverot enne toiminna alkua 3 ) Onko Tmi mahdollista työllistää ulkopuolinen ( tilapäisesti ) 3.1 ) Tunnen kyllä työsopimusjuridiset asiat Tmi ei ole mahdollista työllistää puolisoa luin jostain ?","1 ) liikevaihto saattaa jäädä alle 8000 €/vuosi 2 ) pitää minä hoitaa ennakkovero enne toiminna alku 3 ) olla Tmi mahdollinen työllistää ulkopuolinen ( tilapäisesti ) 3.1 ) tuntea kyllä työsopimusjuridinen asia Tmi ei olla mahdollinen työllistää puoliso lukea jokin ?","T:mi, ennakkoverotus, ALV ja työntekijän palkkaaminen","14.12.2014","08:53","Talous","Yrityksen perustaminen","dhjtykulioö","2060356","http://keskustelu.suomi24.fi/t/13111005#comment-75129120","http://keskustelu.suomi24.fi/t/13111005","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"195","S24","Viimeksi tuli tavaraa Saksasta DHL : n kautta lokakuussa ja pystyin silloin seuraamaan ihan toimitukseen asti tilannetta , en kyllä enää muista oliko Suomen vain kansainvälisiltä sivuilta .","viimeksi tulla tavara Saksa DHL : n kautta lokakuu ja pystyä silloin seurata ihan toimitus asti tilanne , ei kyllä enää muu olla Suomi vain kansainvälinen sivu .","Ulkomailta tilaaminen, paketin seuranta Suomessa?","14.11.2010","04:19","Talous","Shoppailu","Ei päivisin kotona","503507","http://keskustelu.suomi24.fi/t/9462852#comment-46735431","http://keskustelu.suomi24.fi/t/9462852","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"196","S24","Hei , Olen ostanut ensiasuntoni 9 vuotta sitten , kyseessä kerrostalo-osake .","hei , olla ostaa ensiasunto 9 vuosi sitten , kyse kerrostalo-osake .","Ensiasunnon vuokraus remontin jälkeen","14.5.2014","10:02","Talous","Kysy verokortista","voinko vähentää","2534604","http://keskustelu.suomi24.fi/t/12245129#comment-67797895","http://keskustelu.suomi24.fi/t/12245129","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"197","S24","6 , Kuinka kauan kesää että Skyfarm kasvihuoneet joissa kasvatetaan viljaa maksavat itsensä ja suuriko on säästö verrattuna perinteiseen viljanviljelyyn hehtaarilta .","6 , kuinka kauan kesä että Skyfarm kasvihuone joka kasvattaa vilja maksaa itse ja suuri olla säästö verrata perinteinen viljanviljely hehtaari .","Viljelijälle lämmintä kättä, ruuan","29.8.2012","12:26","Talous","Maataloustuki","jopa, kohta kaksi ?","8071300","http://keskustelu.suomi24.fi/t/10881544#comment-56967113","http://keskustelu.suomi24.fi/t/10881544","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"198","S24","Minulle on kuitenkin verotuspäätökseen merkattu ansiotuloja yhtymästä , jotka aiheuttavat jäännösveron maksamista ( muitakaan tuloja kun ei opiskelijalla ole ) .","minä olla kuitenkin verotuspäätös merkata ansiotulo yhtymä , joka aiheuttaa jäännösvero maksaa ( muu tulo kun ei opiskelija olla ) .","Ansiotulot yhtymistä","12.9.2014","11:55","Talous","Kysy verokortista","olisiko näin","9060219","http://keskustelu.suomi24.fi/t/12517289#comment-70127117","http://keskustelu.suomi24.fi/t/12517289","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"199","S24","Tapaturmaeläke on ensisijainen eläke .","tapaturmaeläke olla ensisijainen eläke .","Työeläke kortti","22.1.2014","11:51","Talous","Kysy työeläkkeestä","","7519761","http://keskustelu.suomi24.fi/t/12007376#comment-65763990","http://keskustelu.suomi24.fi/t/12007376","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"200","S24","Meidän ns. turvamme ( myyjä ei voi ottaa vastaan muita tarjouksia ennen kuin ottaa kantaa meidän kirjalliseen ) oli mennyt ja välittäjät koittavat saada jonkun vielä tarjoamaan meidän tarjouksen päälle .","minä ns. turva ( myyjä ei voida ottaa vasta muu tarjous ennen kuin ottaa kanta minä kirjallinen ) olla mennyt ja välittäjä koittaa saada joku vielä tarjota minä tarjous päälle .","Kiinteistömaailman tarjouskauppa","26.9.2009","08:35","Talous","Kiinteistöt","Korvauksia kivusta ja säryistä ;)","2099615","http://keskustelu.suomi24.fi/t/4991167#comment-40153134","http://keskustelu.suomi24.fi/t/4991167","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"201","S24","Meillä kanssa tilaukset ovat menneet ihan niin kuin pitääkin .","minä kanssa tilaus olla mennä ihan se kuin pitää .","Zooplus luotettava sivusto?","29.9.2012","20:26","Talous","Verkkokaupat","leimmikki","2575380","http://keskustelu.suomi24.fi/t/9596994#comment-57505055","http://keskustelu.suomi24.fi/t/9596994","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"202","S24","Velkaisenkin auton voi myydä jos velka maksetaan kerralla ja kauppakirja lähetetään rahoitusyhtiölle , luovarit tulevat sitten uudelle omistajalle .","velkainen auto voida myydä jos velka maksaa kerta ja kauppakirja lähettää rahoitusyhtiö , luovarit tulla sitten uusi omistaja .","Autolyhennykset maksamatta, auto ulosottoon KOKEMUSTA??????","8.2.2011","21:29","Talous","Lainat ja velka","Kysyin kerran.....","5554408","http://keskustelu.suomi24.fi/t/9636798#comment-48012486","http://keskustelu.suomi24.fi/t/9636798","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"203","S24","Jos kyseessä oli parinavetta , niin ainakin niillä lehmillä on turvallinen olo .","jos kyse olla parinavetta , niin ainakin se lehmä olla turvallinen olo .","Lehmän elämän laatu?","1.6.2014","17:15","Talous","Maatilan eläimet","Söpöjä :D","995704","http://keskustelu.suomi24.fi/t/12282507#comment-68110281","http://keskustelu.suomi24.fi/t/12282507","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"204","S24","Kerrotaan tietysti vakuutusehdoissa selkeästi ettei korvata mitään .","kertoa tietysti vakuutusehto selkeästi ettäei korvata mikään .","Pop-Vakuutus","27.11.2014","12:29","Talous","Vakuutukset","BUMERANG YHTIÖT","2081986","http://keskustelu.suomi24.fi/t/10561101#comment-74195466","http://keskustelu.suomi24.fi/t/10561101","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"205","S24","Huittisissa lopettaa nyt eräs sikatila toimintansa .","Huittinen lopettaa nyt eräs sikatila toiminta .","Sikatalouden kannattavuus parantunut,","1.10.2014","19:27","Talous","Yleistä maataloudesta","Että näin täällä","5347528","http://keskustelu.suomi24.fi/t/12608546#comment-71129249","http://keskustelu.suomi24.fi/t/12608546","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"206","S24","Onneksi omassa tapauksessani myyjä ( Gigantti ) noudatti lakia mukisematta ja toimittaa minulle uuden television .","onneksi oma tapaus myyjä ( gigantti ) noudattaa laki mukista ja toimittaa minä uusi televisio .","Varokaa Philipsiä","4.3.2005","18:20","Talous","Kuluttajansuoja","kannata","476377","http://keskustelu.suomi24.fi/t/1571634#comment-7615863","http://keskustelu.suomi24.fi/t/1571634","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"207","S24","Markkinat ovat aika täynnä verrattuna ihmisten ostovoimaan , joka vain laskee laskemistaan .","markkina olla aika täynnä verrata ihminen ostovoima , joka vain laskea laskeataka .","Työpäivät 6- tuntisiksi","25.11.2014","00:28","Talous","Yleistä taloudesta","fdsafdsa","92823","http://keskustelu.suomi24.fi/t/12921720#comment-74067591","http://keskustelu.suomi24.fi/t/12921720","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"208","S24","Tavataan matkalla .","tavata matka .","NaturaMed Pharma","19.10.2008","16:57","Talous","Kuluttajansuoja","Reppuselässä","4105125","http://keskustelu.suomi24.fi/t/2174746#comment-33417167","http://keskustelu.suomi24.fi/t/2174746","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"209","S24","Tilasin tuolin 4.1 2012 ja maksoin tuotteen .","tilata tuoli 4.1 2012 ja maksaa tuote .","huonekalutukku.fi","18.3.2012","16:36","Talous","Shoppailu","Kat74","4303097","http://keskustelu.suomi24.fi/t/7094965#comment-54226116","http://keskustelu.suomi24.fi/t/7094965","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"210","S24","Töissä käyn ja kun kotia pääsen niin nukun tai makaan vaan sohvalla .","työ käydä ja kun kota päästä niin nukkua tai maata vaan sohva .","tapan itseni","18.4.2014","09:30","Talous","Lainat ja velka","loppu","3252149","http://keskustelu.suomi24.fi/t/12192929#comment-67342044","http://keskustelu.suomi24.fi/t/12192929","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"211","S24","Vaikka kansaneläkettä saisi 1- 5 euroa niin se on kaikki kotiinpäin .","vaikka kansaneläke saada 1- 5 euro niin se olla kaikki kotiinpäin .","Työeläke 62v..","5.11.2014","19:33","Talous","Kysy työeläkkeestä","Tasapainoilua","2205809","http://keskustelu.suomi24.fi/t/12850848#comment-73001841","http://keskustelu.suomi24.fi/t/12850848","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"212","S24","tallari Kun korot kerran on tiedossa niin miksei niitä voi näyttää nettipankissa .","tallari kun korko kerran olla tieto niin miksiei se voida näyttää nettipankki .","Tilien korkotiedot Nordea  muut","4.2.2007","20:39","Talous","Pankit","polkee fillari","4196514","http://keskustelu.suomi24.fi/t/3961369#comment-20956806","http://keskustelu.suomi24.fi/t/3961369","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"213","S24","Eiköhän ne , jotka firmojen kuluja ammatikseen laskee pääkonttoreissa , osaa puun ostohinnassa huomioida moton mittalistan ja tehtaalle ajettujen kuutioiden välisen eron .","ei se , joka firma kulu ammatti laskea pääkonttori , osata puu ostohinta huomioida moto mittalista ja tehdas ajaa kuutio väli ero .","Paljonko puuta jää hankeen?","12.1.2014","10:36","Talous","Metsäkoneet","ottoerkki","8066106","http://keskustelu.suomi24.fi/t/11893406#comment-65570519","http://keskustelu.suomi24.fi/t/11893406","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"214","S24","Suomi on tyhmä maa , ihmiset kituu ja yrittää tehdä töitä , ja siitä työnteosta ei jää juuri mihinkään kivaan , jota jokainen tarvisisi , että jaksaa .","Suomi olla tyhmä maa , ihminen kitua ja yrittää tehdä työ , ja se työnteko ei jäädä juuri mikään kiva , joka jokainen tarvisisi , että jaksaa .","Mistä voisin vielä säästää?","22.10.2014","14:02","Talous","Yleistä taloudesta","suomikorea","2095423","http://keskustelu.suomi24.fi/t/12635285#comment-72225495","http://keskustelu.suomi24.fi/t/12635285","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"215","S24","Sitä on mahdoton välttää jos sijoitus maailmassa koittaa rahaa tehdä .","se olla mahdoton välttää jos sijoitus maailma koittaa raha tehdä .","Suurin potentiaali?!?","29.9.2014","17:33","Talous","Osakevinkit","tapituskaa","252707","http://keskustelu.suomi24.fi/t/11866952#comment-71013080","http://keskustelu.suomi24.fi/t/11866952","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"216","S24","Ministeri antoi ymmärtää , että koko energiatodistuksen tarpeellisuutta omakotitaloja koskien Suomen olosuhteissa olisi aiheellista harkita , mutta energiatodistuksen vaatimisen poistamista varten tarvittaisiin EU : n lupa .","ministeri antaa ymmärtää , että koko energiatodistus tarpeellisuus omakotitalo koskea Suomi olosuhde olla aiheellinen harkita , mutta energiatodistus vaatia poistaa varten tarvita EU : n lupa .","Omakotitalot vapautettavissa energiatodistuksesta?","21.8.2014","12:55","Talous","Yleistä taloudesta","Suomen etu ?","8745308","http://keskustelu.suomi24.fi/t/12438463#comment-69452258","http://keskustelu.suomi24.fi/t/12438463","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"217","S24","Pankki ei saa kertoa ulkopuolisille - joihin myös toiset pankit luetaan - yhtään mitään asiakkaansa lainoista tai taloudellisesta asemasta muutoinkaan .","pankki ei saada kertoa ulkopuolinen - joka myös toinen pankki lukea - yhtään mikään asiakas laina tai taloudellinen asema muutto .","Takaisitko vanhempasi kulutusluoton?","28.8.2014","20:07","Talous","Lainat ja velka","ja asiaan","2785189","http://keskustelu.suomi24.fi/t/12450135#comment-69570864","http://keskustelu.suomi24.fi/t/12450135","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"218","S24","Näissä verotus varmasti eri kuin "" normi "" optioissa ...","tämä verotus varmasti eri kuin "" normi "" optio ...","pitääkö netin kautta tienatusta rahasta maksaa veroa?","2.12.2014","20:37","Talous","Verot","marsu","2069168","http://keskustelu.suomi24.fi/t/13031115#comment-74517087","http://keskustelu.suomi24.fi/t/13031115","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"219","S24","jos et saa täältä vastausta niin googleta tai käy kirjastossa etsimässä jotakin sopimusoikeudesta .","jos ei saada täältä vastaus niin googlettaa tai käydä kirjasto etsiä jokin sopimusoikeus .","Kuntosalin jäsensopimus","10.3.2009","09:36","Talous","Kuluttajansuoja","vastaisi","4100565","http://keskustelu.suomi24.fi/t/6939788#comment-36464795","http://keskustelu.suomi24.fi/t/6939788","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"220","S24","Nyt sinun pitäisi vaan saada hänet ymmärtämään ettei sulla ole vara maksaa hänen asumistaan , veden kulutustaan ym. Käytännössähän maksat myös paskan minkä hän vetää pötöstä .","nyt sinä pitää vaan saada hän ymmärtää ettäei sä olla vara maksaa hän asuataka , vesi kulutustaka ym. käytäntö maksaa myös paska mikä hän vetää pötöstä .","Mieheni ei maksa vuokraa","4.11.2014","11:06","Talous","Lainat ja velka","","3247922","http://keskustelu.suomi24.fi/t/12644270#comment-72924285","http://keskustelu.suomi24.fi/t/12644270","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
